Timestamp,"1. Age
Example: 23 [Restricted to 19ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½","  2. Gender
Example: Male  ","3. Study_Hours (per day) 
Example: 3","4. Class_Attendance (%) 
Example: 85 ","5. Tuition (Private Coaching) 
Example: Yes","6. Exam_Frequency (per semester) 
Example: 4",7. Assignment_Load (1ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,"8. Sleep_Hours (per day) 
Example: 6","9. Physical_Exercise (hours per week) 
Example: 2 ","10. Social_Media_Use (hours per day) 
Example: 3","11. Screen_Time (hours per day) 
Example: 6 ","12. Family_Income_Level 
Example: Middle",13. Peer_Pressure (1ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,14. Family_Support (1ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,15. Anxiety_Level (1ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,"16. University_Type 
Example: Public University",17. Stress_Score (1ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,"18. Stress_Level 
Example: Moderate"
2025/10/14 04:55:29 PM GMT+6,24,Female,7,46,No,4,2,8,Yes,6,1,Medium,7,4,1,Public University,0,Low
2025/10/14 05:31:58 PM GMT+6,20,Female,6,69,No,7,1,8,Yes,5,4,High,2,7,7,National University,7,Low
2025/10/14 06:08:27 PM GMT+6,20,Female,2,89,Yes,9,8,4,No,5,4,High,3,3,1,Public University,20,Medium
2025/10/14 06:44:56 PM GMT+6,21,Female,4,51,Yes,7,1,8,Yes,5,9,High,7,2,9,National University,19,Medium
2025/10/14 07:21:25 PM GMT+6,23,Female,4,81,Yes,7,4,5,Yes,4,11,High,3,3,4,Private University,20,Medium
2025/10/14 07:57:53 PM GMT+6,19,Female,8,67,Yes,6,7,7,No,6,5,High,5,6,2,Public University,13,Medium
2025/10/14 08:34:22 PM GMT+6,19,Female,0,94,Yes,8,3,6,Yes,2,11,High,2,5,6,National University,17,Medium
2025/10/14 09:10:51 PM GMT+6,22,Male,0,93,Yes,8,9,8,Yes,7,2,Low,4,6,2,Private University,12,Medium
2025/10/14 09:47:20 PM GMT+6,21,Female,7,52,No,9,8,4,Yes,1,6,Medium,3,7,1,National University,12,Medium
2025/10/14 10:23:49 PM GMT+6,24,Female,7,54,Yes,1,1,7,Yes,7,2,Medium,2,2,4,Public University,4,Low
2025/10/14 11:00:17 PM GMT+6,20,Male,2,50,No,2,4,5,Yes,4,3,High,6,5,8,National University,9,Low
2025/10/14 11:36:46 PM GMT+6,19,Male,2,79,Yes,7,3,4,No,0,1,Low,9,9,9,Public University,7,Low
2025/10/15 12:13:15 AM GMT+6,21,Male,6,70,Yes,4,1,6,Yes,1,6,Low,2,6,1,Private University,-1,Low
2025/10/15 12:49:44 AM GMT+6,22,Female,9,65,No,7,4,7,Yes,7,8,Low,9,1,9,National University,25,High
2025/10/15 01:26:12 AM GMT+6,23,Male,9,77,Yes,4,5,9,No,7,9,Low,8,6,2,National University,12,Medium
2025/10/15 02:02:41 AM GMT+6,20,Female,4,48,No,5,1,8,Yes,4,2,Medium,7,2,7,National University,7,Low
2025/10/15 02:39:10 AM GMT+6,22,Male,9,57,No,6,4,4,Yes,1,11,Low,5,3,3,Private University,16,Medium
2025/10/15 03:15:39 AM GMT+6,24,Male,3,70,Yes,5,6,6,Yes,2,4,Low,7,8,8,National University,9,Low
2025/10/15 03:52:08 AM GMT+6,22,Female,8,99,No,1,6,4,Yes,4,11,Medium,5,7,3,Private University,12,Medium
2025/10/15 04:28:36 AM GMT+6,21,Male,4,52,Yes,6,5,5,Yes,4,6,High,4,6,1,Private University,9,Low
2025/10/15 05:05:05 AM GMT+6,24,Female,7,85,No,9,7,4,No,5,1,Low,8,9,1,National University,10,Low
2025/10/15 05:41:34 AM GMT+6,20,Female,9,50,No,9,1,6,No,1,4,Medium,8,3,1,Private University,7,Low
2025/10/15 06:18:03 AM GMT+6,21,Male,6,61,Yes,6,5,9,No,5,3,Low,1,1,9,National University,18,Medium
2025/10/15 06:54:31 AM GMT+6,19,Female,6,46,No,2,6,5,No,3,4,Low,1,8,9,Private University,11,Medium
2025/10/15 07:31:00 AM GMT+6,21,Female,7,98,No,4,8,4,Yes,1,2,Medium,6,1,3,Private University,11,Medium
2025/10/15 08:07:29 AM GMT+6,20,Female,1,52,Yes,6,2,4,No,2,5,Low,6,6,9,Public University,14,Medium
2025/10/15 08:43:58 AM GMT+6,22,Female,0,51,Yes,4,8,9,No,5,8,Medium,9,5,9,Public University,20,Medium
2025/10/15 09:20:27 AM GMT+6,23,Female,2,47,No,1,2,8,Yes,0,8,Low,9,3,2,Public University,0,Low
2025/10/15 09:56:55 AM GMT+6,22,Female,5,97,Yes,2,8,9,Yes,3,9,High,1,8,2,Public University,5,Low
2025/10/15 10:33:24 AM GMT+6,20,Female,3,64,No,8,4,8,No,3,9,Medium,6,5,1,Private University,12,Medium
2025/10/15 11:09:53 AM GMT+6,20,Male,4,95,No,9,9,6,Yes,5,7,High,5,7,6,Private University,21,High
2025/10/15 11:46:22 AM GMT+6,24,Female,8,72,Yes,9,1,7,Yes,4,6,Medium,4,4,8,Public University,15,Medium
2025/10/15 12:22:50 PM GMT+6,20,Female,6,69,No,6,8,4,Yes,7,10,Medium,5,4,4,Private University,25,High
2025/10/15 12:59:19 PM GMT+6,24,Female,9,59,No,8,1,5,No,4,3,Medium,2,2,8,Private University,17,Medium
2025/10/15 01:35:48 PM GMT+6,22,Female,6,81,Yes,5,4,4,No,0,11,Low,8,2,4,Private University,18,Medium
2025/10/15 02:12:17 PM GMT+6,22,Female,8,66,Yes,2,5,8,No,1,8,Medium,8,4,7,National University,11,Medium
2025/10/15 02:48:46 PM GMT+6,24,Male,7,59,Yes,4,6,9,Yes,7,11,Medium,8,4,6,National University,19,Medium
2025/10/15 03:25:14 PM GMT+6,24,Male,8,63,No,4,1,7,No,6,10,Medium,7,7,7,National University,14,Medium
2025/10/15 04:01:43 PM GMT+6,20,Male,4,71,No,4,9,5,No,1,7,Medium,6,8,7,Public University,15,Medium
2025/10/15 04:38:12 PM GMT+6,19,Female,3,93,No,1,7,6,No,3,6,High,9,4,5,Public University,12,Medium
2025/10/15 05:14:41 PM GMT+6,22,Female,5,88,No,1,7,7,Yes,6,5,Low,2,2,9,Private University,17,Medium
2025/10/15 05:51:09 PM GMT+6,21,Male,2,87,No,6,6,8,Yes,0,5,Medium,7,6,8,Private University,9,Low
2025/10/15 06:27:38 PM GMT+6,22,Female,4,50,No,1,6,9,Yes,2,7,Low,1,7,3,Public University,1,Low
2025/10/15 07:04:07 PM GMT+6,19,Female,3,53,Yes,9,8,7,Yes,3,10,Low,9,7,6,National University,20,Medium
2025/10/15 07:40:36 PM GMT+6,24,Male,0,80,No,1,9,5,Yes,2,5,Medium,3,6,3,National University,7,Low
2025/10/15 08:17:05 PM GMT+6,20,Female,3,71,Yes,3,2,7,No,6,2,Low,1,7,3,National University,2,Low
2025/10/15 08:53:33 PM GMT+6,22,Male,8,43,No,4,3,8,No,1,10,Low,1,3,5,Private University,12,Medium
2025/10/15 09:30:02 PM GMT+6,23,Female,4,40,Yes,5,7,7,Yes,4,9,Low,2,7,7,Public University,16,Medium
2025/10/15 10:06:31 PM GMT+6,21,Male,8,46,No,4,8,6,Yes,7,7,Medium,2,6,7,National University,19,Medium
2025/10/15 10:43:00 PM GMT+6,24,Male,9,50,No,1,5,9,Yes,1,7,Medium,8,6,1,Public University,-2,Low
2025/10/15 11:19:28 PM GMT+6,24,Male,3,62,No,6,6,7,Yes,2,3,Medium,9,5,6,National University,9,Low
2025/10/15 11:55:57 PM GMT+6,20,Female,2,75,Yes,4,4,9,Yes,0,11,High,9,7,2,National University,3,Low
2025/10/16 12:32:26 AM GMT+6,22,Female,7,43,Yes,2,5,8,Yes,1,1,Medium,3,3,7,National University,3,Low
2025/10/16 01:08:55 AM GMT+6,20,Male,6,54,Yes,9,8,9,No,0,4,High,6,4,4,National University,12,Medium
2025/10/16 01:45:24 AM GMT+6,21,Female,8,60,No,4,1,7,Yes,5,6,High,8,7,2,Public University,2,Low
2025/10/16 02:21:52 AM GMT+6,21,Male,0,93,No,1,4,4,No,2,1,High,7,7,8,Private University,5,Low
2025/10/16 02:58:21 AM GMT+6,24,Female,6,85,No,5,7,5,No,1,1,Medium,9,6,5,Private University,8,Low
2025/10/16 03:34:50 AM GMT+6,24,Male,7,98,Yes,1,5,7,Yes,3,8,Medium,7,6,9,Private University,11,Medium
2025/10/16 04:11:19 AM GMT+6,23,Male,2,85,No,2,7,4,Yes,4,3,Low,4,2,6,Public University,14,Medium
2025/10/16 04:47:48 AM GMT+6,24,Male,0,46,Yes,2,2,8,No,2,9,High,5,6,3,National University,4,Low
2025/10/16 05:24:16 AM GMT+6,23,Female,4,77,Yes,2,5,9,Yes,4,9,Medium,2,2,4,National University,11,Medium
2025/10/16 06:00:45 AM GMT+6,23,Male,6,70,Yes,7,3,7,No,3,4,High,7,6,8,Public University,12,Medium
2025/10/16 06:37:14 AM GMT+6,22,Male,4,73,Yes,6,7,5,No,4,5,Low,2,5,1,Public University,13,Medium
2025/10/16 07:13:43 AM GMT+6,22,Male,4,44,No,1,9,8,Yes,4,6,High,6,3,8,Public University,15,Medium
2025/10/16 07:50:11 AM GMT+6,21,Female,0,83,Yes,2,4,8,Yes,2,9,Low,2,4,5,Public University,8,Low
2025/10/16 08:26:40 AM GMT+6,22,Male,9,89,No,1,4,6,No,7,4,Low,1,6,4,National University,8,Low
2025/10/16 09:03:09 AM GMT+6,21,Male,3,48,No,9,6,6,Yes,3,10,High,1,5,5,National University,20,Medium
2025/10/16 09:39:38 AM GMT+6,22,Female,9,51,No,1,2,9,No,4,9,High,2,2,7,National University,12,Medium
2025/10/16 10:16:07 AM GMT+6,23,Female,4,62,No,7,8,9,No,7,5,Medium,3,6,8,Private University,20,Medium
2025/10/16 10:52:35 AM GMT+6,23,Male,6,75,Yes,2,5,4,Yes,6,9,Medium,6,8,3,National University,11,Medium
2025/10/16 11:29:04 AM GMT+6,19,Male,5,80,Yes,8,4,5,No,7,5,High,2,6,4,Public University,17,Medium
2025/10/16 12:05:33 PM GMT+6,21,Female,3,93,No,9,6,9,Yes,4,6,Low,6,4,3,Private University,13,Medium
2025/10/16 12:42:02 PM GMT+6,24,Male,1,48,Yes,4,9,9,No,7,11,Low,2,5,5,National University,22,High
2025/10/16 01:18:30 PM GMT+6,20,Male,0,59,No,6,3,9,No,0,4,Medium,8,6,5,Private University,3,Low
2025/10/16 01:54:59 PM GMT+6,19,Female,6,83,Yes,9,3,9,No,6,9,Low,3,1,4,Public University,21,High
2025/10/16 02:31:28 PM GMT+6,24,Male,1,96,Yes,6,2,4,No,6,2,Low,6,3,8,National University,17,Medium
2025/10/16 03:07:57 PM GMT+6,20,Female,9,87,Yes,1,7,7,Yes,2,3,Medium,2,3,6,National University,7,Low
2025/10/16 03:44:26 PM GMT+6,23,Male,1,47,Yes,5,9,7,No,2,8,Low,4,4,1,Public University,14,Medium
2025/10/16 04:20:54 PM GMT+6,20,Male,9,44,Yes,9,9,6,No,2,7,Medium,3,8,7,National University,20,Medium
2025/10/16 04:57:23 PM GMT+6,19,Male,0,54,Yes,3,6,7,Yes,0,7,Medium,9,3,6,Public University,10,Low
2025/10/16 05:33:52 PM GMT+6,24,Female,9,90,Yes,3,4,9,No,5,2,Medium,3,5,6,National University,6,Low
2025/10/16 06:10:21 PM GMT+6,20,Female,1,83,Yes,9,9,5,Yes,5,7,High,7,9,3,Public University,17,Medium
2025/10/16 06:46:49 PM GMT+6,23,Female,2,65,Yes,4,4,7,No,7,2,Low,9,6,3,Public University,7,Low
2025/10/16 07:23:18 PM GMT+6,24,Male,9,52,Yes,1,2,5,Yes,7,8,High,6,8,4,National University,7,Low
2025/10/16 07:59:47 PM GMT+6,21,Male,9,60,Yes,9,5,5,No,0,2,Medium,4,8,2,Private University,5,Low
2025/10/16 08:36:16 PM GMT+6,21,Male,6,89,Yes,1,9,4,Yes,1,11,Medium,9,6,8,Private University,18,Medium
2025/10/16 09:12:45 PM GMT+6,23,Female,7,54,Yes,4,8,6,No,3,6,Low,8,4,9,Public University,20,Medium
2025/10/16 09:49:13 PM GMT+6,21,Male,2,42,No,3,5,7,Yes,3,2,Low,7,9,1,Public University,-4,Low
2025/10/16 10:25:42 PM GMT+6,21,Female,5,62,No,4,7,4,No,1,4,Low,5,8,2,Private University,6,Low
2025/10/16 11:02:11 PM GMT+6,20,Male,5,95,Yes,1,6,7,No,1,1,Low,8,5,2,National University,-1,Low
2025/10/16 11:38:40 PM GMT+6,22,Male,2,66,Yes,6,9,4,Yes,3,11,Medium,9,7,3,Public University,19,Medium
2025/10/17 12:15:08 AM GMT+6,24,Female,6,81,No,5,6,8,No,2,6,Medium,8,3,4,Private University,12,Medium
2025/10/17 12:51:37 AM GMT+6,22,Female,2,76,Yes,8,1,4,No,2,3,Low,6,4,2,Public University,8,Low
2025/10/17 01:28:06 AM GMT+6,24,Male,6,49,Yes,8,3,5,Yes,3,2,Medium,5,3,2,Private University,8,Low
2025/10/17 02:04:35 AM GMT+6,23,Male,9,97,No,7,4,7,Yes,0,2,Medium,1,6,2,Public University,0,Low
2025/10/17 02:41:04 AM GMT+6,24,Male,3,61,Yes,4,2,7,Yes,1,2,Medium,7,5,6,National University,1,Low
2025/10/17 03:17:32 AM GMT+6,20,Male,6,86,Yes,1,5,4,No,1,7,Medium,6,5,5,Public University,10,Low
2025/10/17 03:54:01 AM GMT+6,21,Female,5,97,Yes,7,1,8,No,1,4,Medium,2,6,7,National University,6,Low
2025/10/17 04:30:30 AM GMT+6,21,Male,6,52,Yes,3,3,9,No,3,8,Low,1,2,3,Private University,9,Low
2025/10/17 05:06:59 AM GMT+6,21,Female,8,89,No,7,9,6,No,0,5,Low,9,8,7,National University,14,Medium
2025/10/17 05:43:27 AM GMT+6,23,Female,8,65,Yes,5,2,5,Yes,5,11,High,4,5,4,Public University,15,Medium
2025/10/17 06:19:56 AM GMT+6,20,Male,3,74,No,1,6,4,Yes,0,5,Low,7,2,8,National University,12,Medium
2025/10/17 06:56:25 AM GMT+6,19,Female,6,74,Yes,7,1,4,No,4,9,Low,3,3,9,Public University,23,High
2025/10/17 07:32:54 AM GMT+6,24,Female,2,44,No,1,5,4,No,5,4,High,4,6,5,Public University,10,Low
2025/10/17 08:09:23 AM GMT+6,19,Female,3,89,No,9,8,8,Yes,0,5,Medium,4,6,4,Public University,10,Low
2025/10/17 08:45:51 AM GMT+6,22,Male,1,87,Yes,2,2,5,No,5,10,Low,6,4,2,Public University,12,Medium
2025/10/17 09:22:20 AM GMT+6,21,Female,4,87,Yes,4,8,4,No,5,9,Low,4,3,1,National University,20,Medium
2025/10/17 09:58:49 AM GMT+6,20,Male,7,72,No,8,4,4,Yes,2,2,Low,3,9,3,National University,4,Low
2025/10/17 10:35:18 AM GMT+6,24,Female,1,68,Yes,8,4,9,Yes,2,5,Medium,1,3,7,Public University,12,Medium
2025/10/17 11:11:47 AM GMT+6,19,Male,1,69,No,7,9,5,Yes,1,7,High,7,1,6,National University,22,High
2025/10/17 11:48:15 AM GMT+6,22,Female,6,91,Yes,6,7,7,Yes,6,6,Low,7,4,1,Private University,13,Medium
2025/10/17 12:24:44 PM GMT+6,23,Female,2,69,No,1,2,7,Yes,3,1,High,2,9,5,National University,-6,Low
2025/10/17 01:01:13 PM GMT+6,22,Female,8,97,No,8,6,8,No,3,1,Low,8,9,4,Public University,5,Low
2025/10/17 01:37:42 PM GMT+6,24,Male,5,98,Yes,5,4,5,Yes,1,4,Low,4,3,8,Private University,12,Medium
2025/10/17 02:14:10 PM GMT+6,19,Female,4,79,No,6,2,8,No,5,4,Medium,9,2,6,Private University,13,Medium
2025/10/17 02:50:39 PM GMT+6,20,Male,7,54,Yes,2,3,5,No,6,5,High,7,9,2,National University,4,Low
2025/10/17 03:27:08 PM GMT+6,24,Female,7,47,No,8,2,9,No,4,4,Medium,4,9,4,National University,4,Low
2025/10/17 04:03:37 PM GMT+6,24,Male,1,57,No,5,1,9,Yes,3,4,Medium,3,6,9,Public University,5,Low
2025/10/17 04:40:06 PM GMT+6,23,Female,2,71,No,3,9,6,Yes,7,2,Low,2,7,7,Private University,13,Medium
2025/10/17 05:16:34 PM GMT+6,22,Female,3,99,No,1,6,5,Yes,1,6,Medium,9,6,6,National University,7,Low
2025/10/17 05:53:03 PM GMT+6,21,Female,2,82,Yes,5,2,8,Yes,1,9,Medium,5,9,7,National University,5,Low
2025/10/17 06:29:32 PM GMT+6,19,Male,2,95,Yes,9,3,8,Yes,5,9,Medium,1,7,5,Private University,14,Medium
2025/10/17 07:06:01 PM GMT+6,20,Female,8,70,Yes,6,1,8,No,3,7,Medium,3,3,6,Private University,12,Medium
2025/10/17 07:42:29 PM GMT+6,24,Male,5,43,No,9,9,6,No,6,7,Low,1,1,5,National University,29,High
2025/10/17 08:18:58 PM GMT+6,23,Male,3,50,No,8,1,8,Yes,2,1,Medium,9,7,7,Private University,2,Low
2025/10/17 08:55:27 PM GMT+6,23,Female,6,95,Yes,5,2,8,No,2,3,High,2,8,3,Public University,-1,Low
2025/10/17 09:31:56 PM GMT+6,24,Male,0,86,No,3,5,6,No,6,6,Medium,7,7,6,Public University,13,Medium
2025/10/17 10:08:25 PM GMT+6,21,Male,6,42,Yes,1,3,9,No,5,9,Low,9,6,4,National University,7,Low
2025/10/17 10:44:53 PM GMT+6,20,Female,0,88,Yes,1,3,5,No,5,7,Low,1,3,8,National University,16,Medium
2025/10/17 11:21:22 PM GMT+6,24,Female,9,70,Yes,6,8,8,Yes,6,11,Medium,2,2,6,Private University,25,High
2025/10/17 11:57:51 PM GMT+6,20,Male,4,76,No,6,7,6,Yes,5,7,Low,7,5,1,National University,13,Medium
2025/10/18 12:34:20 AM GMT+6,19,Female,1,91,Yes,1,8,6,Yes,4,8,Medium,1,2,7,Private University,18,Medium
2025/10/18 01:10:48 AM GMT+6,20,Male,8,66,Yes,7,6,8,Yes,0,8,High,9,8,8,National University,11,Medium
2025/10/18 01:47:17 AM GMT+6,19,Female,3,83,Yes,4,7,5,Yes,5,9,Low,6,8,2,Public University,12,Medium
2025/10/18 02:23:46 AM GMT+6,21,Female,4,95,Yes,5,5,4,Yes,7,9,Low,6,1,7,Private University,26,High
2025/10/18 03:00:15 AM GMT+6,22,Female,0,58,Yes,3,9,6,Yes,5,2,Medium,6,1,7,Public University,17,Medium
2025/10/18 03:36:44 AM GMT+6,22,Male,0,53,No,6,9,8,Yes,1,3,Medium,1,7,7,National University,9,Low
2025/10/18 04:13:12 AM GMT+6,20,Female,4,41,No,9,4,8,Yes,2,10,Medium,2,8,1,Public University,8,Low
2025/10/18 04:49:41 AM GMT+6,23,Male,4,97,Yes,9,8,7,No,3,2,Medium,8,8,4,Private University,11,Medium
2025/10/18 05:26:10 AM GMT+6,22,Female,3,75,No,8,9,5,No,6,11,Medium,1,5,9,National University,33,High
2025/10/18 06:02:39 AM GMT+6,23,Male,8,85,Yes,2,7,5,Yes,5,8,Medium,5,1,9,National University,23,High
2025/10/18 06:39:07 AM GMT+6,22,Male,7,43,Yes,3,3,7,Yes,6,2,Low,3,9,9,Public University,5,Low
2025/10/18 07:15:36 AM GMT+6,20,Male,3,56,No,6,1,9,No,7,11,Low,5,3,4,Public University,17,Medium
2025/10/18 07:52:05 AM GMT+6,24,Male,3,93,Yes,2,1,6,Yes,4,6,High,1,1,9,Public University,13,Medium
2025/10/18 08:28:34 AM GMT+6,24,Male,6,94,Yes,4,4,8,No,0,5,Medium,9,7,1,National University,-1,Low
2025/10/18 09:05:03 AM GMT+6,24,Female,7,51,No,6,8,6,Yes,3,11,High,9,8,3,Public University,15,Medium
2025/10/18 09:41:31 AM GMT+6,19,Female,9,85,Yes,4,3,5,No,5,8,High,5,3,8,Public University,20,Medium
2025/10/18 10:18:00 AM GMT+6,23,Female,7,69,No,5,4,4,Yes,5,6,Medium,4,6,5,Public University,13,Medium
2025/10/18 10:54:29 AM GMT+6,19,Male,0,70,Yes,2,8,4,No,7,11,Medium,1,1,7,Public University,30,High
2025/10/18 11:30:58 AM GMT+6,22,Female,9,97,Yes,1,6,5,No,0,10,Medium,2,6,3,Public University,9,Low
2025/10/18 12:07:26 PM GMT+6,19,Male,6,84,No,9,1,4,Yes,6,2,Low,7,6,8,Public University,14,Medium
2025/10/18 12:43:55 PM GMT+6,21,Female,4,97,No,6,4,8,No,3,8,Medium,6,2,6,National University,17,Medium
2025/10/18 01:20:24 PM GMT+6,21,Female,0,62,Yes,9,9,7,No,3,7,Medium,4,1,1,Public University,21,High
2025/10/18 01:56:53 PM GMT+6,21,Female,7,59,No,8,8,8,Yes,0,5,Low,9,2,7,Private University,16,Medium
2025/10/18 02:33:22 PM GMT+6,21,Female,0,74,No,8,8,6,No,2,10,High,4,3,6,Public University,25,High
2025/10/18 03:09:50 PM GMT+6,19,Female,2,64,Yes,6,3,4,Yes,1,2,High,8,4,7,Public University,9,Low
2025/10/18 03:46:19 PM GMT+6,21,Male,3,78,No,2,7,6,Yes,2,9,Low,5,7,7,Private University,12,Medium
2025/10/18 04:22:48 PM GMT+6,21,Male,8,82,No,9,7,5,Yes,1,6,Low,5,7,1,Private University,10,Low
2025/10/18 04:59:17 PM GMT+6,19,Female,7,68,Yes,4,2,6,Yes,0,8,Medium,2,9,3,Private University,0,Low
2025/10/18 05:35:46 PM GMT+6,22,Male,2,83,Yes,1,4,9,Yes,4,8,Low,9,1,5,National University,10,Low
2025/10/18 06:12:14 PM GMT+6,19,Male,3,86,Yes,2,1,4,No,1,9,Low,3,9,5,Private University,5,Low
2025/10/18 06:48:43 PM GMT+6,23,Female,0,87,Yes,7,7,9,No,5,3,Low,9,7,3,National University,9,Low
2025/10/18 07:25:12 PM GMT+6,21,Female,0,82,No,9,9,5,No,5,3,High,1,3,2,National University,20,Medium
2025/10/18 08:01:41 PM GMT+6,24,Female,9,55,No,4,7,4,No,4,7,Medium,6,2,2,National University,18,Medium
2025/10/18 08:38:09 PM GMT+6,21,Female,3,59,Yes,1,5,6,No,5,2,High,9,7,6,National University,6,Low
2025/10/18 09:14:38 PM GMT+6,24,Female,0,97,Yes,8,2,5,No,2,7,Low,7,6,9,Public University,17,Medium
2025/10/18 09:51:07 PM GMT+6,19,Female,1,81,Yes,8,5,5,No,0,3,Medium,2,1,6,Private University,16,Medium
2025/10/18 10:27:36 PM GMT+6,20,Male,4,81,No,3,8,6,No,4,1,Medium,4,1,3,Private University,12,Medium
2025/10/18 11:04:05 PM GMT+6,21,Male,7,94,Yes,4,2,8,Yes,0,10,Medium,6,9,6,National University,3,Low
2025/10/18 11:40:33 PM GMT+6,21,Female,3,46,Yes,1,3,5,Yes,0,1,Medium,4,2,4,National University,0,Low
2025/10/19 12:17:02 AM GMT+6,19,Male,7,63,No,2,6,9,No,3,11,Medium,4,2,3,National University,14,Medium
2025/10/19 12:53:31 AM GMT+6,24,Female,9,64,No,9,8,6,Yes,6,11,Low,7,7,9,Private University,28,High
2025/10/19 01:30:00 AM GMT+6,24,Female,8,94,No,5,3,8,Yes,0,1,Low,9,8,2,Private University,-7,Low
2025/10/19 02:06:28 AM GMT+6,19,Male,5,91,Yes,4,5,7,Yes,2,11,Medium,4,6,5,National University,12,Medium
2025/10/19 02:42:57 AM GMT+6,21,Female,5,46,No,4,8,4,No,6,4,Low,9,6,2,National University,14,Medium
2025/10/19 03:19:26 AM GMT+6,22,Female,9,48,Yes,4,5,5,No,0,6,Medium,4,1,6,Public University,15,Medium
2025/10/19 03:55:55 AM GMT+6,24,Male,6,90,Yes,4,5,4,No,4,6,Low,8,3,8,Private University,20,Medium
2025/10/19 04:32:24 AM GMT+6,22,Female,6,80,No,5,5,7,No,7,1,Low,3,1,5,Private University,15,Medium
2025/10/19 05:08:52 AM GMT+6,21,Female,2,82,No,5,3,8,Yes,4,2,Medium,6,1,1,National University,4,Low
2025/10/19 05:45:21 AM GMT+6,24,Female,4,94,No,6,5,9,No,4,11,Low,3,1,2,National University,18,Medium
2025/10/19 06:21:50 AM GMT+6,20,Female,0,83,Yes,2,5,7,Yes,0,11,High,6,1,1,Private University,9,Low
2025/10/19 06:58:19 AM GMT+6,20,Female,5,67,No,6,5,6,No,0,7,Medium,1,4,8,Public University,16,Medium
2025/10/19 07:34:47 AM GMT+6,19,Male,3,45,No,2,7,9,No,7,6,Low,3,1,4,Private University,16,Medium
2025/10/19 08:11:16 AM GMT+6,19,Female,3,97,No,6,7,4,No,7,9,Low,3,5,4,Private University,24,High
2025/10/19 08:47:45 AM GMT+6,21,Male,0,74,No,7,5,8,Yes,6,9,Low,4,6,6,National University,17,Medium
2025/10/19 09:24:14 AM GMT+6,21,Male,5,41,No,2,6,5,No,2,11,Low,3,8,3,Public University,11,Medium
2025/10/19 10:00:43 AM GMT+6,22,Male,5,43,No,3,9,9,No,0,1,Low,1,4,1,Private University,1,Low
2025/10/19 10:37:11 AM GMT+6,24,Female,6,57,Yes,9,4,6,No,0,3,High,7,7,3,Private University,6,Low
2025/10/19 11:13:40 AM GMT+6,23,Female,8,67,Yes,4,2,9,No,7,10,Medium,2,4,3,Private University,13,Medium
2025/10/19 11:50:09 AM GMT+6,21,Female,7,68,Yes,2,5,7,Yes,7,3,Low,9,2,5,Private University,11,Medium
2025/10/19 12:26:38 PM GMT+6,24,Female,3,64,Yes,3,3,4,No,2,11,Low,7,9,7,Private University,13,Medium
2025/10/19 01:03:06 PM GMT+6,22,Female,2,70,No,2,6,8,Yes,7,11,Medium,3,1,1,Private University,16,Medium
2025/10/19 01:39:35 PM GMT+6,20,Male,6,73,Yes,1,4,8,Yes,7,8,Medium,1,1,4,Private University,13,Medium
2025/10/19 02:16:04 PM GMT+6,19,Female,0,66,Yes,9,5,9,No,2,4,Low,7,1,3,National University,13,Medium
2025/10/19 02:52:33 PM GMT+6,21,Male,1,83,No,3,6,9,No,7,5,Low,4,2,2,National University,12,Medium
2025/10/19 03:29:02 PM GMT+6,23,Female,1,82,No,2,1,8,No,3,4,Medium,8,5,7,National University,4,Low
2025/10/19 04:05:30 PM GMT+6,21,Female,8,75,No,1,1,7,No,7,4,Medium,4,8,5,Public University,3,Low
2025/10/19 04:41:59 PM GMT+6,23,Male,0,76,Yes,1,9,6,No,3,3,Medium,8,6,8,Private University,12,Medium
2025/10/19 05:18:28 PM GMT+6,20,Male,0,44,Yes,2,4,8,No,2,4,High,2,5,5,Public University,4,Low
2025/10/19 05:54:57 PM GMT+6,19,Female,7,73,Yes,7,2,5,No,7,10,High,2,2,9,Public University,28,High
2025/10/19 06:31:25 PM GMT+6,21,Male,5,82,No,4,8,9,Yes,1,7,High,8,2,2,National University,9,Low
2025/10/19 07:07:54 PM GMT+6,20,Female,0,48,Yes,6,5,6,No,3,8,Medium,3,1,4,Public University,19,Medium
2025/10/19 07:44:23 PM GMT+6,22,Female,5,40,No,5,9,8,Yes,1,9,Medium,4,8,7,Private University,13,Medium
2025/10/19 08:20:52 PM GMT+6,22,Male,3,64,No,5,7,5,Yes,6,10,Medium,2,5,3,Public University,19,Medium
2025/10/19 08:57:21 PM GMT+6,24,Female,2,80,Yes,1,5,5,Yes,1,8,Medium,5,2,4,Public University,10,Low
2025/10/19 09:33:49 PM GMT+6,21,Female,5,75,No,5,9,8,Yes,4,9,Medium,2,1,7,National University,23,High
